"plot_name","sensor_node","year","date_YYYY.MM.DD","multi.hit_or_top.hit","diversity_shannon","shannon_equitability"
11.2,11,2018,"7/11/18","top-hit",2.21110249974679,1.13628190942949
17.2,17,2018,"7/20/18","multi-hit",3.29722847193677,1.10064190349864
12.2,12,2018,"7/18/18","top-hit",3.59392069055296,1.10307372682561
21.3,21,2017,"2017-07-12","top-hit",2.82915840430068,0.87892747599747
15.1,15,2018,"7/13/18","top-hit",3.68728427553597,1.01366238863558
