"date","phenocam","doy","rcc","gcc","bcc","brt","night.filtered","spline.filtered","max.filtered","year","soil_sensor","sm5cm_daily_mean","sm30cm_daily_mean","sm5cm_daily_min","sm30cm_daily_min","sm5cm_daily_10th","sm30cm_daily_10th","sm5cm_daily_25th","sm30cm_daily_25th","sm5cm_3day90th","sm30cm_3day90th","sm5cm_3day10th","sm30cm_3day10th","sm5cm_3day25th","sm30cm_3day25th","stemp5_daily_mean","stemp30_daily_mean","airtemp_daily_mean","airtemp_daily_min","snowdepth_daily_mean","stemp5_3day90th","stemp30_3day90th","snowdepth_3day90th","air_3day90th"
"2018-09-24",15,267,0.410099959638766,0.375234692298554,0.215634859127129,337.656030856413,0.375234692298554,0.375234692298554,0.377378049291781,2018,"a",0.728263888888889,0.1804375,0.728,0.177,0.728,0.178,0.728,0.179,0.729,0.187,0.728,0.178,0.728,0.18,11.0071527777778,23.7411111111111,5.78597222222222,1,3414.5,15.444,24.3,3430,10.412
"2018-09-28",11,271,0.443726959774958,0.352123186429486,0.204556493665839,362.417636324099,0.352123186429486,0.352123186429486,0.353725504844595,2018,"b",0.0302986111111111,-0.0299027777777778,0.025,-0.03,0.026,-0.03,0.027,-0.03,0.036,-0.029,0.025,-0.03,0.026,-0.03,9.24833333333333,8.87291666666667,6.1665625,1,3751.79166666667,12.769,9.28,3775,11.11
"2018-11-14",17,318,0.286670747374499,0.34505552202897,0.368346695020682,630.461904036171,0.34505552202897,0.34505552202897,0.345460115084582,2018,"b",0.381555555555556,0.269159722222222,0.372,0.265,0.3733,0.2653,0.379,0.269,0.388,0.271,0.376,0.266,0.382,0.27,-3.44963194444444,-0.331208333333333,-3.17488194444444,-6.686,3421.45833333333,-2.44,-0.2271,3437,-0.905399999999997
"2018-09-28",19,271,0.39511667652116,0.349469184705112,0.255265829049218,352.263434391182,0.349469184705112,0.349469184705112,0.351913720029246,2018,"b",0.0552222222222222,0.060625,0.052,0.06,0.053,0.06,0.053,0.06,0.059,0.062,0.051,0.06,0.053,0.06,10.0232569444444,8.58847222222222,6.75632638888889,1,500,17.27,9.15,500,11.973
"2018-09-14",20,257,0.407202038997006,0.353836063655069,0.239404987577266,491.34130415948,0.353836063655069,0.353836063655069,0.356998384824275,2018,"b",0.0944166666666667,0.109847222222222,0.088,0.109,0.091,0.109,0.092,0.109,0.107,0.113,0.081,0.107,0.087,0.108,12.0424513888889,9.09243055555556,12.204375,1,772.75,18.15,9.519,1314,16.905
"2018-06-01",20,152,0.359859753282405,0.35193381471545,0.28714251800034,425.128264614143,0.35193381471545,0.35193381471545,0.354096105265899,2018,"b",0.430520833333333,0.461402777777778,0.428,0.451,0.429,0.451,0.43,0.45375,0.485,0.481,0.414,0.447,0.415,0.45,6.85014583333333,3.42924305555556,8.79013888888889,1,3423.11805555556,9.803,3.9333,3438,11.92
"2017-11-02",18,306,0.299092026156468,0.332789866289794,0.369361249580397,326.608365006867,0.332789866289794,0.332789866289794,0.334884827708078,2017,"b",0.1283125,0.0915833333333333,0.123,0.09,0.124,0.0903,0.128,0.091,0.134,0.092,0.123,0.089,0.126,0.09,-0.100694444444444,0.623069444444444,1.22804166666667,-0.73,3517.45138888889,0.0097000000000001,0.8039,3534,3.5848
"2018-07-11",6,192,0.371509969309829,0.430649168502591,0.197754837049071,289.840596137571,0.430649168502591,0.430649168502591,0.432895610982685,2018,"b",0.218763888888889,0.260743055555556,0.218,0.248,0.218,0.25,0.218,0.256,0.221,0.279,0.217,0.249,0.217,0.253,4.25536805555556,8.16356944444444,14.170625,1,3071.07638888889,4.6228,9.888,3100,16.83
"2018-07-05",19,186,0.352078520550765,0.446925987800146,0.200970739375443,301.200616190139,0.446925987800146,0.446925987800146,0.451341325027341,2018,"b",0.226270833333333,0.172604166666667,0.222,0.171,0.222,0.172,0.224,0.172,0.241,0.177,0.219,0.17,0.221,0.171,13.2981944444444,10.3554861111111,9.61982638888889,1,3256,17.55,10.67,2209.6,15.537
"2018-10-16",15,289,0.282202982818639,0.341704492597702,0.374451508210844,556.851602303605,0.341704492597702,0.341704492597702,0.343380426778128,2018,"a",0.728485714285714,0.2206,0.728,0.218,0.728,0.218,0.728,0.219,0.729,0.224,0.728,0.218,0.728,0.219,1.10277142857143,13.7780714285714,-4.21396428571429,-6.764,3334.23571428571,1.4157,14.097,3393.7,-0.71
