"X","TIMESTAMP","RECORD","sensornode","airtemp_Max","airtemp_TMx","airtemp_Min","airtemp_TMn","airtemp_Avg","rh_Max","rh_TMx","rh_Min","rh_TMn","rh_Avg","soiltemp_5cm_Avg","soiltemp_30cm_Avg","vwca_5cm_Avg","vwca_30cm_Avg","vwcb_5cm_Avg","vwcb_30cm_Avg","vwcc_5cm_Avg","vwcc_30cm_Avg","ppt_Tot","ppt2_Tot","dts","dts_Min","panltemp","battvolt_Min","airtemp_Std","rh_Std","soiltemp_5cm_Std","soiltemp_30cm_Std","vwca_5cm_Std","vwca_30cm_Std","vwcb_5cm_Std","vwcb_30cm_Std","vwcc_5cm_Std","vwcc_30cm_Std","ppt_Std","ppt2_Std","dts_Std"
21839,"2018-03-27 14:30:00",21838,14,-2.507,"2018-03-27 14:30:00",-2.548,"2018-03-27 14:29:50",-2.531,60.77,"2018-03-27 14:29:50",60.58,"2018-03-27 14:30:00",60.66,-2.063,-2.148,0.127,0.078,0.073,0.091,0.111,0.046,0,0,3245,3245,21.96,13.83,0.017,0.081,0,0,0,0,0,0,0,0,0,0,0
22046,"2018-03-29 01:10:00",22045,14,-11.76,"2018-03-29 01:05:40",-12.01,"2018-03-29 01:03:40",-11.85,85.4,"2018-03-29 01:01:50",82.3,"2018-03-29 01:09:00",84,-2.773,-2.406,0.125,0.079,0.069,0.091,0.102,0.045,0,0,634,634,-11.41,12.75,0.057,0.855,0.001,0,0,0,0,0,0,0,0,0,0.482
22500,"2018-04-01 05:00:00",22499,14,-4.818,"2018-04-01 04:52:25",-5.04,"2018-04-01 04:58:25",-4.926,91.6,"2018-04-01 04:50:30",88.7,"2018-04-01 04:55:00",89.9,-2.88,-2.634,0.122,0.08,0.073,0.088,0.103,0.044,0,0,2967,2967,-4.067,12.71,0.06,0.773,0.001,0,0,0,0,0,0,0,0,0,0
21573,"2018-03-25 18:00:00",21572,14,-3.054,"2018-03-25 17:54:00",-3.165,"2018-03-25 17:59:45",-3.109,83,"2018-03-25 18:00:00",81.1,"2018-03-25 17:56:55",82,-1.08,-1.918,0.145,0.09,0.086,0.092,0.114,0.044,0,0,3345,3345,-0.894,13.31,0.031,0.459,0.003,0.001,0,0,0,0,0,0,0,0,0.356
18280,"2018-03-02 18:00:00",18279,14,-1.434,"2018-03-02 17:54:10",-1.738,"2018-03-02 17:56:25",-1.577,33.03,"2018-03-02 18:00:00",30.75,"2018-03-02 17:57:05",31.85,-1.496,-5.222,0.13,0.021,0.048,0.085,0.11,0.03,0,0,3394,3391,1.46,13.17,0.085,0.502,0.007,0.005,0,0,0,0,0,0,0,0,0.571
21439,"2018-03-24 19:30:00",21438,14,-0.846,"2018-03-24 19:27:25",-1.232,"2018-03-24 19:30:00",-0.947,41.22,"2018-03-24 19:30:00",36.11,"2018-03-24 19:24:30",37.53,-0.996,-1.356,0.145,0.092,0.089,0.093,0.119,0.045,0,0,3346,3339,-0.696,13.01,0.075,1.266,0.002,0,0,0,0,0,0,0,0,0,1.478
20318,"2018-03-16 22:30:00",20317,14,-8.27,"2018-03-16 22:27:35",-8.73,"2018-03-16 22:25:35",-8.52,59.57,"2018-03-16 22:25:35",56.59,"2018-03-16 22:27:45",58.08,-5.748,-4.456,0.111,0.018,0.048,0.084,0.1,0.036,0,0,3276,3276,-9.67,12.85,0.127,0.849,0.006,0.001,0,0,0,0,0,0,0,0,0
20897,"2018-03-21 00:20:00",20896,14,-9.2,"2018-03-21 00:20:00",-9.2,"2018-03-21 00:20:00",-9.2,79.97,"2018-03-21 00:20:00",79.97,"2018-03-21 00:20:00",79.97,-6.033,-5.087,0.108,0.017,0.048,0.083,0.097,0.035,0,0,3195,3195,-9.01,12.81,0,0,0,0,0,0,0,0,0,0,0,0,0
20205,"2018-03-16 03:20:00",20204,14,-9.44,"2018-03-16 03:20:00",-9.48,"2018-03-16 03:19:15",-9.47,90.2,"2018-03-16 03:19:30",90.1,"2018-03-16 03:19:15",90.1,-4.875,-4.255,0.114,0.019,0.049,0.086,0.106,0.036,0,0,500,500,-8.95,12.75,0.013,0.045,0.001,0,0,0,0,0,0,0,0,0,0
22573,"2018-04-01 17:10:00",22572,14,0.954,"2018-04-01 17:08:45",-0.098,"2018-04-01 17:02:55",0.45,48.81,"2018-04-01 17:02:45",40.31,"2018-04-01 17:08:30",44.4,-2.786,-2.656,0.122,0.081,0.074,0.088,0.103,0.045,0,0,2739,2723,3.962,14.23,0.225,1.847,0.004,0,0,0,0,0,0,0,0,0,7.851
24875,"2018-04-17 17:50:00",24874,14,-11.06,"2018-04-17 17:40:55",-11.27,"2018-04-17 17:50:00",-11.16,81.4,"2018-04-17 17:44:40",76.66,"2018-04-17 17:41:00",79.98,-2.839,-2.636,0.124,0.073,0.075,0.078,0.096,0.047,0,0,500,500,-8.49,13.91,0.05,1.179,0.008,0,0,0,0,0,0,0,0,0,0
20556,"2018-03-18 14:40:00",20555,14,-7.81,"2018-03-18 14:39:45",-8.17,"2018-03-18 14:35:40",-8.05,86.4,"2018-03-18 14:34:55",78.93,"2018-03-18 14:40:00",83.2,-5.867,-5.031,0.108,0.027,0.044,0.085,0.098,0.034,0,0,3374,3374,-2.839,14.41,0.093,2.273,0.002,0,0,0,0,0,0,0,0,0,0
20653,"2018-03-19 07:10:00",20652,14,-13.29,"2018-03-19 07:00:15",-13.8,"2018-03-19 07:04:15",-13.56,80.5,"2018-03-19 07:04:30",76.98,"2018-03-19 07:00:10",79.27,-6.221,-4.916,0.108,0.02,0.044,0.085,0.098,0.034,0,0,3278,3273,-13.58,12.95,0.125,0.921,0.004,0.001,0,0,0.002,0,0,0,0,0,1.186
21732,"2018-03-26 20:40:00",21731,14,-8.6,"2018-03-26 20:30:50",-8.8,"2018-03-26 20:39:20",-8.7,93.6,"2018-03-26 20:34:10",93.2,"2018-03-26 20:35:00",93.4,-2.006,-2.074,0.132,0.08,0.073,0.093,0.115,0.045,0,0,3322,3322,-6.771,12.92,0.06,0.091,0.001,0,0,0,0,0,0,0,0,0,0
