"X","TIMESTAMP","RECORD","sensornode","airtemp_Max","airtemp_TMx","airtemp_Min","airtemp_TMn","airtemp_Avg","rh_Max","rh_TMx","rh_Min","rh_TMn","rh_Avg","soiltemp_5cm_Avg","soiltemp_30cm_Avg","vwca_5cm_Avg","vwca_30cm_Avg","vwcb_5cm_Avg","vwcb_30cm_Avg","vwcc_5cm_Avg","vwcc_30cm_Avg","ppt_Tot","ppt2_Tot","dts","dts_Min","panltemp","battvolt_Min","airtemp_Std","rh_Std","soiltemp_5cm_Std","soiltemp_30cm_Std","vwca_5cm_Std","vwca_30cm_Std","vwcb_5cm_Std","vwcb_30cm_Std","vwcc_5cm_Std","vwcc_30cm_Std","ppt_Std","ppt2_Std","dts_Std"
32805,"2018-08-21 07:30:00",29362,9,5.986,"2018-08-21 07:20:05",5.138,"2018-08-21 07:30:00",5.523,88,"2018-08-21 07:30:00",79.76,"2018-08-21 07:20:05",83.8,5.923,9.05,0.08,0.097,0.3,0.114,0.07,0.037,0,0,2546,2545,5.031,12.5,0.185,1.879,0,0,0,0.001,0.001,0,0,0,0,0,1.6
31626,"2018-08-13 03:00:00",28183,9,11.25,"2018-08-13 02:59:50",10.59,"2018-08-13 02:55:50",10.83,39.02,"2018-08-13 02:58:20",35.78,"2018-08-13 02:50:35",37.97,7.724,10.82,0.098,0.108,0.111,0.098,0.062,0.043,0,0,2562,2549,8.44,12.63,0.144,0.906,0.057,0,0,0,0,0,0,0,0,0,4.339
27822,"2018-07-17 17:00:00",24379,9,13.33,"2018-07-17 16:56:20",12.28,"2018-07-17 16:50:05",12.79,77.59,"2018-07-17 16:50:10",71.23,"2018-07-17 16:57:50",74.4,20.14,9.02,0.086,0.162,0.128,0.095,0.073,0.041,0,0,2533,2532,17.79,12.76,0.307,1.561,0.057,0.001,0.001,0.001,0,0,0,0,0,0,3.324
27177,"2018-07-13 05:30:00",23734,9,7.843,"2018-07-13 05:24:20",7.118,"2018-07-13 05:20:10",7.58,56.86,"2018-07-13 05:20:15",53.04,"2018-07-13 05:24:00",54.61,4.85,9.31,0.119,0.176,0.226,0.094,0.062,0.034,0,0,2557,2554,5.377,12.15,0.183,0.825,0.017,0,0,0,0,0,0,0,0,0,0.89
28375,"2018-07-21 13:10:00",24932,9,18.15,"2018-07-21 13:00:05",15.36,"2018-07-21 13:08:45",17.01,53.17,"2018-07-21 13:08:55",36.66,"2018-07-21 13:00:20",42.77,20.55,9.76,0.074,0.121,0.106,0.091,0.064,0.034,0,0,2547,2544,24.89,13.25,0.881,5.846,0.073,0,0.001,0.001,0,0,0,0,0,0,11.48
32583,"2018-08-19 18:30:00",29140,9,6.37,"2018-08-19 18:20:05",5.724,"2018-08-19 18:30:00",6.007,81,"2018-08-19 18:25:05",67.04,"2018-08-19 18:22:40",71.26,13.47,9.04,0.076,0.093,0.201,0.091,0.063,0.03,0,0,2570,2568,9.41,12.91,0.157,3.721,0.135,0,0.001,0,0,0,0,0,0,0,0.906
31611,"2018-08-13 00:30:00",28168,9,12.01,"2018-08-13 00:27:55",10.93,"2018-08-13 00:20:40",11.35,15.28,"2018-08-13 00:25:05",12.01,"2018-08-13 00:26:55",13.53,8.29,11.08,0.099,0.108,0.111,0.098,0.063,0.044,0,0,2549,2541,5.485,12.67,0.328,0.736,0.03,0,0,0,0,0,0,0,0,0,3.791
29780,"2018-07-31 07:20:00",26337,9,9.76,"2018-07-31 07:17:35",9.46,"2018-07-31 07:16:10",9.59,24.59,"2018-07-31 07:16:45",17.83,"2018-07-31 07:12:35",20.68,5.246,9.29,0.214,0.115,0.16,0.138,0.156,0.14,0,0,2536,2535,14.52,12.66,0.073,1.573,0.108,0,0.001,0,0,0,0,0,0,0,3.289
27766,"2018-07-17 07:40:00",24323,9,13.15,"2018-07-17 07:36:40",12.74,"2018-07-17 07:30:05",12.96,59.43,"2018-07-17 07:35:25",51.02,"2018-07-17 07:39:00",55.27,7.222,8.75,0.082,0.169,0.131,0.096,0.067,0.041,0,0,2557,2554,21.12,12.41,0.103,1.772,0.062,0.016,0,0.001,0,0,0,0,0,0,0.893
28415,"2018-07-21 19:50:00",24972,9,12.48,"2018-07-21 19:48:40",11.98,"2018-07-21 19:43:15",12.26,65.09,"2018-07-21 19:43:35",60,"2018-07-21 19:40:25",63.17,15.19,10.55,0.068,0.118,0.106,0.093,0.055,0.03,0,0,2506,2500,14.18,12.75,0.175,1.372,0.107,0.001,0,0,0,0,0,0,0,0,2.521
29247,"2018-07-27 14:30:00",25804,9,9.22,"2018-07-27 14:20:40",8.27,"2018-07-27 14:29:40",8.66,99.2,"2018-07-27 14:28:55",98.6,"2018-07-27 14:21:10",98.9,16.48,9.78,0.318,0.12,0.262,0.163,0.232,0.182,0,0,2537,2537,16.46,13.14,0.241,0.139,0,0,0.001,0.001,0,0,0,0,0,0,2.089
30684,"2018-08-06 14:00:00",27241,9,15.43,"2018-08-06 13:59:50",14.24,"2018-08-06 13:54:20",14.76,31.24,"2018-08-06 13:51:30",24.06,"2018-08-06 13:54:20",27.08,18.14,8.75,0.268,0.116,0.227,0.103,0.179,0.073,0,0,2567,2564,20.72,13.34,0.316,1.827,0.076,0,0.001,0.001,0,0,0.001,0.001,0,0,7.283
29478,"2018-07-29 05:00:00",26035,9,8.13,"2018-07-29 04:57:40",7.752,"2018-07-29 04:51:00",7.943,63.48,"2018-07-29 04:51:05",61.75,"2018-07-29 04:57:40",62.56,6.875,9.56,0.274,0.117,0.213,0.157,0.199,0.164,0,0,2534,2523,6.744,12.46,0.079,0.375,0.094,0.001,0.001,0,0,0,0,0,0,0,5.77
31890,"2018-08-14 23:00:00",28447,9,9.46,"2018-08-14 22:58:10",8.62,"2018-08-14 22:59:50",9.04,58.48,"2018-08-14 22:55:25",54.51,"2018-08-14 22:58:00",56.8,9.31,10.38,0.082,0.104,0.108,0.095,0.059,0.038,0,0,2542,2532,6.373,12.69,0.218,1.031,0,0.076,0,0,0,0,0,0,0,0,3.364
26916,"2018-07-11 10:00:00",23473,9,16.63,"2018-07-11 09:59:30",15.58,"2018-07-11 09:51:50",16.13,44.34,"2018-07-11 09:53:05",38.1,"2018-07-11 09:55:30",40.64,14.35,9.24,0.07,0.199,0.106,0.097,0.066,0.04,0,0,2580,2564,27.31,12.73,0.283,1.478,0.161,0,0,0,0,0,0,0,0,0,3.27
32661,"2018-08-20 07:30:00",29218,9,8.85,"2018-08-20 07:23:35",8.41,"2018-08-20 07:20:05",8.71,37.42,"2018-08-20 07:21:00",31.79,"2018-08-20 07:26:05",34.55,3.342,8.78,0.076,0.098,0.188,0.091,0.059,0.03,0,0,2601,2564,13.61,12.98,0.094,1.406,0.124,0.012,0.001,0.002,0,0,0,0,0,0,5.713
28906,"2018-07-25 05:40:00",25463,9,10.85,"2018-07-25 05:40:00",10.36,"2018-07-25 05:35:35",10.52,55.25,"2018-07-25 05:35:20",51.29,"2018-07-25 05:39:45",53.54,7.754,10.06,0.296,0.114,0.269,0.158,0.213,0.133,0,0,2534,2530,9.66,12.53,0.108,0.842,0,0,0,0,0,0,0,0,0,0,3.444
29696,"2018-07-30 17:20:00",26253,9,8.99,"2018-07-30 17:10:25",7.703,"2018-07-30 17:17:35",8.19,78.74,"2018-07-30 17:17:55",71.88,"2018-07-30 17:11:55",75.31,18.66,9.53,0.218,0.119,0.164,0.138,0.168,0.147,0,0,2531,2531,17.01,13.16,0.395,1.776,0.002,0.001,0.001,0.001,0,0,0,0,0,0,5.521
26231,"2018-07-06 15:50:00",22788,9,13.11,"2018-07-06 15:40:30",13,"2018-07-06 15:49:05",13.05,54.71,"2018-07-06 15:49:50",47.67,"2018-07-06 15:43:45",50.53,15.17,8.25,0.084,0.244,0.116,0.111,0.079,0.048,0,0,2542,2540,15.55,12.35,0.029,1.899,0.116,0.001,0,0,0,0,0,0,0,0,0.723
29541,"2018-07-29 15:30:00",26098,9,14.77,"2018-07-29 15:22:30",14.12,"2018-07-29 15:27:35",14.4,29.28,"2018-07-29 15:20:05",25.48,"2018-07-29 15:20:40",27.31,16.17,9.27,0.249,0.119,0.184,0.146,0.191,0.158,0,0,2539,2528,17.04,13.45,0.179,0.782,0.097,0,0.001,0.001,0,0,0,0,0,0,5.236
26087,"2018-07-05 15:50:00",22644,9,10.2,"2018-07-05 15:40:05",9.82,"2018-07-05 15:47:05",10.02,89.3,"2018-07-05 15:47:15",86.5,"2018-07-05 15:40:50",88,13.31,8.26,0.087,0.248,0.116,0.113,0.081,0.051,0,0,2561,2561,13.61,12.46,0.104,0.689,0.019,0,0,0,0,0,0,0,0,0,0.973
27151,"2018-07-13 01:10:00",23708,9,9,"2018-07-13 01:09:30",7.794,"2018-07-13 01:03:25",8.2,41.05,"2018-07-13 01:03:00",34.99,"2018-07-13 01:08:40",38.48,6.197,9.82,0.121,0.175,0.231,0.094,0.061,0.034,0,0,2553,2551,5.225,12.24,0.354,1.523,0.037,0,0,0,0,0,0,0,0,0,1.024
29553,"2018-07-29 17:30:00",26110,9,13.87,"2018-07-29 17:23:40",13.54,"2018-07-29 17:21:20",13.72,29.04,"2018-07-29 17:23:20",24.79,"2018-07-29 17:28:35",26.56,15.13,9.54,0.242,0.117,0.18,0.146,0.186,0.156,0,0,2540,2517,16.07,13.06,0.103,0.941,0.113,0.028,0,0.001,0,0,0,0,0,0,6.129
26604,"2018-07-09 06:00:00",23161,9,12.14,"2018-07-09 05:59:55",11.77,"2018-07-09 05:50:10",11.94,55.58,"2018-07-09 05:50:20",54.07,"2018-07-09 05:55:45",54.81,6.18,8.27,0.075,0.23,0.113,0.106,0.072,0.045,0,0,2572,2566,10.95,11.98,0.082,0.291,0.002,0.002,0,0.001,0,0,0,0,0,0,3.998
28417,"2018-07-21 20:10:00",24974,9,12.26,"2018-07-21 20:05:05",11,"2018-07-21 20:09:40",11.83,74.63,"2018-07-21 20:10:00",62.17,"2018-07-21 20:03:25",66.24,14.53,10.55,0.068,0.118,0.106,0.093,0.055,0.029,0,0,2522,2499,13.05,12.74,0.405,3.355,0.165,0.002,0,0,0,0,0,0,0,0,5.177
