"X","TIMESTAMP","RECORD","sensornode","airtemp_Max","airtemp_TMx","airtemp_Min","airtemp_TMn","airtemp_Avg","rh_Max","rh_TMx","rh_Min","rh_TMn","rh_Avg","soiltemp_5cm_Avg","soiltemp_30cm_Avg","vwca_5cm_Avg","vwca_30cm_Avg","vwcb_5cm_Avg","vwcb_30cm_Avg","vwcc_5cm_Avg","vwcc_30cm_Avg","ppt_Tot","ppt2_Tot","dts","dts_Min","panltemp","battvolt_Min","airtemp_Std","rh_Std","soiltemp_5cm_Std","soiltemp_30cm_Std","vwca_5cm_Std","vwca_30cm_Std","vwcb_5cm_Std","vwcb_30cm_Std","vwcc_5cm_Std","vwcc_30cm_Std","ppt_Std","ppt2_Std","dts_Std"
5560,"2018-01-12 22:10:00",5559,21,-10.13,"2018-01-12 22:07:40",-10.3,"2018-01-12 22:04:20",-10.21,88.7,"2018-01-12 22:01:25",84.8,"2018-01-12 22:05:25",87.4,-3.21,-4.31,0.081,0.124,0.062,0.138,-0.03,0.143,0,0,3878,3876,-10.4,12.76,0.039,0.966,0.105,0,0,0,0,0,0,0,0,0,0.459
2739,"2017-12-24 08:00:00",2738,21,-18.28,"2017-12-24 07:51:50",-18.44,"2017-12-24 07:54:20",-18.36,79.71,"2017-12-24 07:53:05",78.43,"2017-12-24 07:51:45",79.23,-2.996,-4.941,0.079,0.118,0.068,0.133,-0.032,0.135,0,0,4959,4959,-18.72,14.87,0.033,0.289,0,0,0,0,0,0,0,0,0,0,0
5517,"2018-01-12 15:00:00",5516,21,-8.71,"2018-01-12 14:50:05",-8.96,"2018-01-12 14:59:05",-8.82,86.9,"2018-01-12 14:52:40",83.1,"2018-01-12 14:50:05",85.2,-3.357,-3.728,0.079,0.125,0.062,0.138,-0.03,0.144,0,0,3853,3853,-5.94,14.45,0.048,0.951,0.098,0.08,0,0,0,0,0,0,0,0,0
5423,"2018-01-11 23:20:00",5422,21,-10.72,"2018-01-11 23:14:40",-11.07,"2018-01-11 23:19:10",-10.89,85.7,"2018-01-11 23:11:30",84.2,"2018-01-11 23:10:05",85,-3.021,-4.306,0.081,0.123,0.063,0.136,-0.03,0.139,0,0,4088,4088,-11.7,12.61,0.091,0.403,0,0,0,0,0,0,0,0,0,0,8.25
5548,"2018-01-12 20:10:00",5547,21,-9.82,"2018-01-12 20:00:05",-10.04,"2018-01-12 20:07:55",-9.93,90.4,"2018-01-12 20:02:40",87.9,"2018-01-12 20:07:05",89.2,-3.144,-4.241,0.08,0.125,0.062,0.138,-0.03,0.144,0,0,3866,3865,-9.87,12.81,0.063,0.744,0.106,0.098,0,0,0,0,0,0,0,0,0.455
5490,"2018-01-12 10:30:00",5489,21,-8.84,"2018-01-12 10:28:05",-9.1,"2018-01-12 10:20:10",-8.99,88.3,"2018-01-12 10:24:40",86.3,"2018-01-12 10:27:40",87.3,-3.619,-4.324,0.079,0.124,0.062,0.137,-0.03,0.142,0,0,3956,3953,-6.159,14.49,0.066,0.484,0.085,0.001,0,0,0,0,0,0,0,0,0.733
5399,"2018-01-11 19:20:00",5398,21,-12.9,"2018-01-11 19:16:20",-13.03,"2018-01-11 19:12:10",-12.97,86.1,"2018-01-11 19:18:55",85.1,"2018-01-11 19:16:25",85.7,-3.012,-4.298,0.079,0.122,0.063,0.137,-0.03,0.14,0,0,4473,4470,-13.54,12.77,0.033,0.268,0,0,0.001,0,0,0,0,0,0,0,1.413
5549,"2018-01-12 20:20:00",5548,21,-9.83,"2018-01-12 20:20:00",-10.05,"2018-01-12 20:11:20",-9.95,90.1,"2018-01-12 20:16:35",88.3,"2018-01-12 20:18:55",89.2,-3.142,-4.238,0.081,0.125,0.062,0.138,-0.03,0.144,0,0,3866,3866,-9.94,12.81,0.064,0.548,0.111,0.101,0,0,0,0,0,0,0,0,0
5394,"2018-01-11 18:30:00",5393,21,-13.02,"2018-01-11 18:21:05",-13.12,"2018-01-11 18:27:40",-13.07,88.4,"2018-01-11 18:23:10",87.2,"2018-01-11 18:20:15",87.9,-3.012,-4.274,0.08,0.122,0.064,0.138,-0.03,0.141,0,0,4515,4515,-13.42,12.82,0.021,0.282,0,0.058,0,0.001,0,0,0,0,0,0,3.959
5491,"2018-01-12 10:40:00",5490,21,-8.96,"2018-01-12 10:32:10",-9.16,"2018-01-12 10:36:45",-9.07,88.8,"2018-01-12 10:40:00",85.1,"2018-01-12 10:32:05",87.5,-3.633,-4.324,0.079,0.124,0.062,0.138,-0.03,0.142,0,0,3957,3949,-6.073,14.48,0.045,0.92,0.077,0,0,0,0,0,0,0,0,0,3.222
